"title","text","reviewRating","date","reviewer","page","company_url"
"ActiveCampaign partner/reseller here-- abandoned after 5 years of being a partner.","ActiveCampaign partner/reseller here (5+ years). On Feb 21, 2026, my Partner Portal login stopped working after what appears to be a login-flow change. I followed all standard reset/recovery steps and the partner login paths support provided—but I’m stuck because I don’t know which username/email is tied to my Partner Portal identity, and recovery loops without resolving it. Support sent a list of my activehosted accounts, but that doesn’t identify the partner portal credential record. Work is now blocked and tasks are piling up.
If anyone at ActiveCampaign can help, I need: (1) confirmation of the partner portal email/username on file, and (2) a true partner credential reset path. Ticket: #11067128.",,"2026-02-27T19:25:45.000Z","Marc Fey","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Stay Away!","No support. No response to emails.  This is just terrible. This seems like a cash grab where they overpromise and just sell.  Stay away. We are stuck, you don't have to be. No cross object reporting, no duplicate emails on different accounts, no duplicate account names. All promised before we came aboard.  Terrible company and terrible customer service. I mean ZERO responses to emails.",,"2026-02-27T04:37:14.000Z","Jeremy Sykes","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Really (really) poor customer service","Really (really) poor customer service. I was charged multiple times, and support was unprofessional.
",,"2026-02-26T20:24:59.000Z","Nicolas D","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Wanted to leave a review as I thought…","Wanted to leave a review as I thought this was top-notch customer service.  Our firm had changed its text act and we were no longer using active campaign. Our subscription was still on and their customer service handled it with care and resolved everything.  Andrea A. Our Rep walked us through everything connected us with management and resolved this in less than a day. We are super grateful and just happy to work with them and will recommend them for anyone going forward.  ",,"2026-02-26T02:58:18.000Z","Bray Taylor","1","https://www.trustpilot.com/review/www.activecampaign.com"
"Horrible","Horrible. Do not use this service. They will not cancel your account and keep charging you. Find better alternatives. You can see the reviews on Trust Pilot for a reason. Run don’t walk. Look up my name and the 100 emails sent back and forth. You’ll find me. ",,"2026-02-25T08:10:36.000Z","Consumer","1","https://www.trustpilot.com/review/www.activecampaign.com"
"I’ve been using ActiveCampaign for…","I’ve been using ActiveCampaign for years, but the recent experience has been extremely frustrating.

Since early November, a critical bug has been blocking one of our core automations. I opened a ticket immediately, provided all the details, logs, and examples requested and after that? Weeks of silence, generic replies, and zero progress.

What makes it worse is the lack of accountability: every follow-up is met with “we’re looking into it,” but no ETA, no workaround, no ownership. For a platform positioned as “pro-level” and used for business-critical flows, this level of support is simply unacceptable.

At this point, the issue has been open for months with no fix. It’s creating operational delays and forcing us to look at alternative tools.

I really hope this review pushes the team to take support and reliability more seriously. A platform this costly shouldn’t break basic features and definitely shouldn’t leave customers hanging.",,"2026-02-19T15:17:19.000Z","Giovanni Pizza","1","https://www.trustpilot.com/review/www.activecampaign.com"
"The best for automated email campaigns","ActiveCampaign has a steep learning curve, and I was a little initmidated. But I found all the training videos and support really helpful. I was able to become effective with the platform pretty quickly. I think the capabilities of the platform are awesome once you put in the time to learn the system. It's worth the time and the price to develop effective automated email campaigns, and AC is the best for automated email campaigns.",,"2026-02-17T23:31:34.000Z","Eric S.","1","https://www.trustpilot.com/review/www.activecampaign.com"
"I really enjoy working with Active…","I really enjoy working with Active Campaign. It is very user friendly, really intuitive. Plus when I haven´t been able to find a feature that I´m looking for, the customer service is very helpful. 
The multiple features allow me to develop highly attractive emails that still keep a great deal of professionalism.
I love all that I can have access to all the data and stats that help me making better decisions each time, as they reveal the bahaviour of the potential clients. 
",,"2026-02-17T01:56:41.000Z","ConCiencia ECAI","1","https://www.trustpilot.com/review/www.activecampaign.com"
"I signed up for AC and had to wait a…","I signed up for AC and had to wait a week before I could get an integration/onboarding call. I emailed the salesperson who signed me up twice and then left him a voicemail the next day to see if he could help me get a few questions answered so I wouldn't have to wait a week. Guy ghosted me, did not even acknowledge my call or emails. Even if he lacked the technical expertise to assist me, he should at least have gotten back to me. Unimpressed with the company so far. It is on a month-to-month contract. I will probably look for another platform with better customer service. That is not just poor customer service, it is downright poor manners.",,"2026-02-06T16:10:28.000Z","June Camacho","1","https://www.trustpilot.com/review/www.activecampaign.com"
"ActiveCampaign has a lots of functions, sometimes performance issues","ActiveCampaign is very mighty, has a lot of potential that I am actually using - not everything though because it is a bit tricky to stay on track with all the news and updates.

However, AC has some big disadvantages, such as:
- sometimes poor perfomance. Writing a mail and suddenly all is gone - very frustrating. 
- Had to pay an email expert because my mails very often landed in the spam (not caused by my mails but by the technical dmarc and some things that are related to AC, e.g. reputation of shared IPs). 
- Dashboard changes quite a lot times, it is very confusing to always adapt to the new overview.

Customer service though is great and very fast and very good and still, the different functions AC has are the biggest plus. ",,"2026-02-06T15:28:46.000Z","Claudia Göbel","1","https://www.trustpilot.com/review/www.activecampaign.com"
