"title","text","reviewRating","date","reviewer","page","company_url"
"Didn't feel like they wanted my company as a customer.","Started a free trial. Unfortunatetly, didn't have time to explore the product during this brief period.  I tried to extend the free trial, but was asked to leave reviews to do so, which I thought was silly as I haven't even used the product yet.

I asked my 'account manager' Dale May for an extension on a Friday, and he extended it until Monday.  I don't work weekends - when I came in Monday morning, trial had expired again.  Useless.

It can clearly be seen that I have yet to use the free trial, so why they did not try and extend was beyond me, as would have been more than happy to sign up if I liked the software.",,"2026-02-28T13:26:58.000Z","Daniel","1","https://www.trustpilot.com/review/www.zoho.com"
"Trying to get them to call you back…","Trying to get them to call you back seems to take forever.  It doesn't matter if it's sales or support.  It appears to be a poorly run company and I don't know if they are under capitalize, growing too fast or just very poorly run.  I'd be very careful before you spend much time with this compay.  ",,"2026-02-27T15:59:56.000Z","Brian Bingel","1","https://www.trustpilot.com/review/www.zoho.com"
"Very poor experience!!!!","Very poor experience!!!!! After fully setting up the system and investing significant effort into configuring everything, I was forced into unnecessary and contradictory verification steps despite having a legitimate U.S. business identity. Even after providing all requested documents, I was told I must establish an additional business entity in the country I reside in — a requirement that is absolutely not true. This left me no choice but to downgrade my account, yet no refund was issued. Overall, a very unprofessional experience. I also encountered significant technical problems while using the platform. There are many other alternatives offering better solutions at a better price. Not recommended.",,"2026-02-27T14:22:50.000Z","MAG","1","https://www.trustpilot.com/review/www.zoho.com"
"So easy to use","So easy to use, very accurate with updates that load in seamlessly. I am blown away how easy to use and the reports you can generate that are very relative to your business. The follow ups and the ease of logging in each time so quick you can log in wherever you are. I highly recommend ZOHO invoicing  and Zoho over all the training tutorials are a bonus. Thank you Zoho",,"2026-02-26T22:41:07.000Z","Dave Abbot","1","https://www.trustpilot.com/review/www.zoho.com"
"Unreliable for long-term use","I hired the Zoho Creator platform years ago. At the time of the contract, there were options available to purchase more 'space,' referred to by the platform as 'records,' along with a variety of other features. Over the years, Zoho removed these options and is now offering me an upgrade at a cost 4.5 times higher. This makes Zoho highly unreliable for long-term use.",,"2026-02-26T22:32:40.000Z","Glaciano Ribeiro","1","https://www.trustpilot.com/review/www.zoho.com"
"Zoho Rep lacking accountability","I scheduled demo with a Zoho rep but there was a no-show by Zoho.  There was no communication beforehand for a reschedule which makes me worry if their service levels are lacking for customers",,"2026-02-26T15:25:47.000Z","Guerilla Nobz","1","https://www.trustpilot.com/review/www.zoho.com"
"""Looking to streamline your social…","""Looking to streamline your social media management? Look no further than Zoho Social! This platform offers a range of tools to schedule posts, engage with your audience, and analyze performance. Take your social media game to the next level with Zoho Social! 🚀 hashtag#SocialMediaManagement hashtag#ZohoSocial""",,"2026-02-26T12:33:42.000Z","Keshav Bhavsar","1","https://www.trustpilot.com/review/www.zoho.com"
"Effective software, VERY SLOW customer support. ","The system is effective, However in having such a broad range software, the customer support is severely lacking. Don't bother adding on the ""premium support"" option. There is nothing premium about it, their resolution and response speed times are no different than the regular support (which is pretty slow). ",,"2026-02-25T19:31:26.000Z","Christina V","1","https://www.trustpilot.com/review/www.zoho.com"
"QuickBooks Online Integration is a plus","We have used Quickbooks Online in the past for expenses and receipt submission.  Zoho has made that task way easier.",,"2026-02-24T22:22:04.000Z","Jeff Peck","1","https://www.trustpilot.com/review/www.zoho.com"
"Easy to use and great reporting tools","Really easy to create and keep track of my scheduled posts, then to get feedback on their performance all in the one place has saved me lots of time and makes presenting the performance a lot easier.",,"2026-02-24T14:53:14.000Z","Eilidh Hudson","1","https://www.trustpilot.com/review/www.zoho.com"
"A great experience","We have enjoyed the experience at every turn. The collaboration with other team members has been easy and work gets done quickly. Customer service is top notch, as well. ",,"2026-02-24T00:40:21.000Z","Shanea Daniels","1","https://www.trustpilot.com/review/www.zoho.com"
"i am enjoying zoho social","i am enjoying zoho social",,"2026-02-23T20:13:05.000Z","C-lvia Maseko","1","https://www.trustpilot.com/review/www.zoho.com"
"It saved me tons of time. I have been using Zoho for the past…","I have been using Zoho for the past couple of months, and it saved me tons of time and made my life easy. It got amazing features, quite flexible and most important it got AI enabled features....ZOHO is amount the top 3 Social Media Apps or tools, if not the no#1 application with loads of features. Thanks Zoho guys, keep improving....",,"2026-02-23T13:23:28.000Z","MAK Ahmed","1","https://www.trustpilot.com/review/www.zoho.com"
